K,beta,h_min,second_frac,t2_over_t1,hv_over_max_thresh,t1,t2,h1,h2,hv_over_max,is_bimodal,source
K=4,0.001,1e-07,0.005,10,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.005,12,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.005,12,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.005,12,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.01,8,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.01,8,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.01,8,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.01,10,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.01,10,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.01,10,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.01,12,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.01,12,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.01,12,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.02,8,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.02,8,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.02,8,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.02,10,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.02,10,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.02,10,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.02,12,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.02,12,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-07,0.02,12,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.005,8,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.005,8,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.005,8,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.005,10,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.005,10,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.005,10,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.005,12,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.005,12,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.005,12,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.01,8,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.01,8,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.01,8,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.01,10,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.01,10,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.01,10,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.01,12,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.01,12,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.01,12,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.02,8,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.02,8,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.02,8,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.02,10,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.02,10,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.02,10,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.02,12,0.1,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.02,12,0.2,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.001,1e-06,0.02,12,0.3,32.0,515.0,1.1147569784723535e-05,0.000598321926075344,0.017303074901835025,1,cases
K=4,0.005,1e-08,0.005,8,0.1,32.0,506.0,5.549316968924975e-05,0.0006093883336757186,0.08087463672550603,1,cases
K=4,0.005,1e-08,0.005,8,0.2,32.0,506.0,5.549316968924975e-05,0.0006093883336757186,0.08087463672550603,1,cases
K=4,0.005,1e-08,0.005,8,0.3,32.0,506.0,5.549316968924975e-05,0.0006093883336757186,0.08087463672550603,1,cases
K=4,0.005,1e-08,0.005,10,0.1,32.0,506.0,5.549316968924975e-05,0.0006093883336757186,0.08087463672550603,1,cases
K=4,0.005,1e-08,0.005,10,0.2,32.0,506.0,5.549316968924975e-05,0.0006093883336757186,0.08087463672550603,1,cases
K=4,0.005,1e-08,0.005,10,0.3,32.0,506.0,5.549316968924975e-05,0.0006093883336757186,0.08087463672550603,1,cases
K=4,0.005,1e-08,0.005,12,0.1,32.0,506.0,5.549316968924975e-05,0.0006093883336757186,0.08087463672550603,1,cases
K=4,0.005,1e-08,0.005,12,0.2,32.0,506.0,5.549316968924975e-05,0.0006093883336757186,0.08087463672550603,1,cases
K=4,0.005,1e-08,0.005,12,0.3,32.0,506.0,5.549316968924975e-05,0.0006093883336757186,0.08087463672550603,1,cases
K=4,0.005,1e-08,0.01,8,0.1,32.0,506.0,5.549316968924975e-05,0.0006093883336757186,0.08087463672550603,1,cases
K=4,0.005,1e-08,0.01,8,0.2,32.0,506.0,5.549316968924975e-05,0.0006093883336757186,0.08087463672550603,1,cases
K=4,0.005,1e-08,0.01,8,0.3,32.0,506.0,5.549316968924975e-05,0.0006093883336757186,0.08087463672550603,1,cases
K=4,0.005,1e-08,0.01,10,0.1,32.0,506.0,5.549316968924975e-05,0.0006093883336757186,0.08087463672550603,1,cases
K=4,0.005,1e-08,0.01,10,0.2,32.0,506.0,5.549316968924975e-05,0.0006093883336757186,0.08087463672550603,1,cases
